Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
37781806	2023-04-06	Kevin McCarthy	(National) Major Party,Center Right,Government,Ideological,Legislative / Parliamentary,Lower House,Parties	United States	Consult	040	1	Tsai Ing-wen	(National) Major Party,Center Left,Elite,Executive,Executive Office,Government,Ideological,Nationalist,Opposition Major Party (Out Of Government),Parties	Taiwan	57129608	5	Agence France-Presse	Beijing		Beijing Shi	China	39.9075	116.397
37782106	2023-04-06	Governor (Sri Lanka)	Government,Local,Provincial	Sri Lanka	Make statement	010	0	Sri Lanka		Sri Lanka	57129610	1	Xinhua News Agency	Colombo		Western Province	Sri Lanka	6.93194	79.8478
37781871	2023-04-06	Azerbaijan		Azerbaijan	Sign formal agreement	057	8	Council of Europe	International Government Organization,Regional,Regional Diplomatic IGOs		57129613	2	Trend News Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
37781872	2023-04-06	Council of Europe	International Government Organization,Regional,Regional Diplomatic IGOs		Sign formal agreement	057	8	Azerbaijan		Azerbaijan	57129613	2	Trend News Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
37781944	2023-04-06	Foreign Affairs (Syria)	Executive,Foreign Ministry,Government	Syria	Consult	040	1	Defense / Security Ministry (Belarus)	Defense / Security Ministry,Executive,Government	Belarus	57129614	2	Syrian Arab News Agency	Minsk		Horad Minsk	Belarus	53.9	27.5667
37781945	2023-04-06	Defense / Security Ministry (Belarus)	Defense / Security Ministry,Executive,Government	Belarus	Consult	040	1	Foreign Affairs (Syria)	Executive,Foreign Ministry,Government	Syria	57129614	2	Syrian Arab News Agency	Minsk		Horad Minsk	Belarus	53.9	27.5667
37782107	2023-04-06	Armenia		Armenia	Express intent to provide material aid	033	5.2	Citizen (Syria)	General Population / Civilian / Social,Social	Syria	57129616	4	Syrian Arab News Agency	Damascus		Dimashq	Syria	33.5102	36.2913
37782108	2023-04-06	Armenia		Armenia	Engage in diplomatic cooperation	050	3.5	Syria		Syria	57129616	5	Syrian Arab News Agency	Damascus		Dimashq	Syria	33.5102	36.2913
37781670	2023-04-06	Defense / Security Ministry (Cambodia)	Defense / Security Ministry,Executive,Government	Cambodia	Make statement	010	0	Cambodia		Cambodia	57129641	1	Unknown				Cambodia	11.5591	104.918
37781671	2023-04-06	Defense / Security Ministry (Cambodia)	Defense / Security Ministry,Executive,Government	Cambodia	Make statement	010	0	China		China	57129641	1	Unknown				Cambodia	11.5591	104.918
37782109	2023-04-06	Police (Hong Kong)	Government,Police	Hong Kong	Confiscate property	1711	-9.2	Hong Kong		Hong Kong	57129643	1	Unknown	Kowloon		Kowloon City	Hong Kong	22.3167	114.183
37782110	2023-04-06	Police (Hong Kong)	Government,Police	Hong Kong	Arrest, detain, or charge with legal action	173	-5	Men (Hong Kong)	General Population / Civilian / Social,Social	Hong Kong	57129643	3	Unknown	Kowloon		Kowloon City	Hong Kong	22.3167	114.183
37782111	2023-04-06	Police (Hong Kong)	Government,Police	Hong Kong	Arrest, detain, or charge with legal action	173	-5	Women (Hong Kong)	General Population / Civilian / Social,Social	Hong Kong	57129643	3	Unknown	Kowloon		Kowloon City	Hong Kong	22.3167	114.183
37782112	2023-04-06	Police (Hong Kong)	Government,Police	Hong Kong	Arrest, detain, or charge with legal action	173	-5	Men (Hong Kong)	General Population / Civilian / Social,Social	Hong Kong	57129643	4	Unknown	Kowloon		Kowloon City	Hong Kong	22.3167	114.183
37781813	2023-04-06	Head of Government (Croatia)	Executive,Executive Office,Government	Croatia	Consult	040	1	City Mayor (Croatia)	Government,Local,Municipal	Croatia	57129646	2	HINA	Zagreb		Grad Zagreb	Croatia	45.8144	15.978
37781814	2023-04-06	City Mayor (Croatia)	Government,Local,Municipal	Croatia	Consult	040	1	Head of Government (Croatia)	Executive,Executive Office,Government	Croatia	57129646	2	HINA	Zagreb		Grad Zagreb	Croatia	45.8144	15.978
37781812	2023-04-06	Representatives (Croatia)	Government,Legislative / Parliamentary	Croatia	Make statement	010	0	City Mayor (Croatia)	Government,Local,Municipal	Croatia	57129646	3	HINA	Zagreb		Grad Zagreb	Croatia	45.8144	15.978
37781747	2023-04-06	Men (Brazil)	General Population / Civilian / Social,Social	Brazil	Occupy territory	192	-9.5	Brazil		Brazil	57129650	6	Folha de São Paulo	Blumenau	Blumenau	Estado de Santa Catarina	Brazil	-26.9194	-49.0661
